data,540184378743929,534814996030886,1001737701719736,1218114126085233,1224385738833453,400454279797104
shop mình có các loại phụ kiện nào ạ,1,1,1,1,1,1
mình muốn mua phụ kiện,1,1,1,1,1,1
toàn bộ phụ kiện của shop,1,1,1,1,1,1
tôi muốn mua phụ kiện bền,1,1,1,1,1,1
tất cả phụ kiện của shop,1,1,1,1,1,1
mình muốn mua cà vạt,1,0,0,0,0,0
mình muốn mua kẹp,0,1,0,0,0,0
mình muốn mua kẹp cà vạt,0,1,0,0,0,0
mình muốn mua nơ,0,0,0,0,1,1
mình muốn mua khăn,0,0,1,1,0,0
mình muốn mua phụ kiện cổ điển,1,0,1,0,0,1
mình muốn mua phụ kiện tối màu,1,0,1,0,0,0
mình muốn mua phụ kiện sáng màu,0,1,0,1,1,1
mình muốn mua phụ kiện tinh tế,1,1,1,0,0,1
mình cần mua phụ kiện,1,1,1,1,1,1
mình cần mua cà vạt,1,0,0,0,0,0
mình cần mua kẹp,0,1,0,0,0,0
mình cần mua kẹp cà vạt,0,1,0,0,0,0
mình muốn mua phụ kiện bền,1,1,1,1,1,1
mình cần mua nơ,0,0,0,0,1,1
mình cần mua khăn,0,0,1,1,0,0
mình cần mua caravat,1,0,0,0,0,0
mình cần mua kẹp caravat,0,1,0,0,0,0
toàn bộ cà vạt,1,0,0,0,0,0
toàn bộ kẹp,0,1,0,0,0,0
toàn bộ kẹp cà vạt,0,1,0,0,0,0
toàn bộ nơ,0,0,0,0,1,1
toàn bộ khăn,0,0,1,1,0,0
mình cần mua phụ kiện cổ điển,1,0,1,0,0,1
mình cần mua phụ kiện tối màu,1,0,1,0,0,0
mình cần mua phụ kiện sáng màu,0,1,0,1,1,1
mình cần mua phụ kiện tinh tế,1,1,1,0,0,1
tôi muốn mua phụ kiện,1,1,1,1,1,1
tôi muốn mua cà vạt,1,0,0,0,0,0
tôi muốn mua kẹp,0,1,0,0,0,0
tôi muốn mua kẹp cà vạt,0,1,0,0,0,0
tôi muốn mua nơ,0,0,0,0,1,1
tôi muốn mua khăn,0,0,1,1,0,0
tôi muốn mua phụ kiện cổ điển,1,0,1,0,0,1
tôi muốn mua phụ kiện tối màu,1,0,1,0,0,0
tôi muốn mua phụ kiện sáng màu,0,1,0,1,1,1
tôi muốn mua phụ kiện tinh tế,1,1,1,0,0,1
tôi cần mua phụ kiện cổ điển,1,0,1,0,0,1
tôi cần mua phụ kiện tối màu,1,0,1,0,0,0
tôi cần mua phụ kiện sáng màu,0,1,0,1,1,1
tôi cần mua phụ kiện tinh tế,1,1,1,0,0,1
mình cần mua bộ ghim cà vạt,1,1,0,0,0,0
tôi cần mua caravat,1,0,0,0,0,0
tôi cần mua kẹp caravat,0,1,0,0,0,0
mình muốn mua phụ kiện hợp thời trang,1,1,1,1,1,1
mình cần mua nơ cho sự kiện,0,0,0,0,1,1
tôi muốn mua khăn cho tiệc,0,0,1,1,0,0
tôi cần tìm phụ kiện theo phong cách tối giản,1,0,1,0,0,0
mình muốn mua phụ kiện phối được với nhiều màu,0,1,1,1,1,1
mình muốn mua cà vạt kẻ sọc,1,0,0,0,0,0
mình cần kẹp bản nhỏ,0,1,0,0,0,0
tôi cần mua phụ kiện đi làm,1,1,1,0,0,1
mình muốn phụ kiện cho lễ cưới,1,1,1,1,1,1
tôi cần một chiếc khăn nhẹ,0,0,1,1,0,0
mình muốn tìm phụ kiện cá tính,0,1,0,0,0,1
tôi cần nơ màu trung tính,0,0,0,0,1,1
mình cần phụ kiện độc đáo,1,1,0,1,0,1
tôi muốn mua cà vạt phong cách cổ điển,1,0,0,0,0,1
tôi cần phụ kiện làm quà tặng,1,1,1,1,1,1
mình cần kẹp giữ cố định tốt,0,1,0,0,0,1
mình muốn nơ phù hợp với áo vest,0,0,0,0,1,1
tôi cần mua khăn xanh,0,0,1,1,0,0
mình muốn mua phụ kiện để đi chụp ảnh,1,1,1,1,1,1
mình muốn mua cà vạt màu đen,1,0,0,0,0,0
mình cần mua cà vạt màu đen,1,0,0,0,0,0
mình muốn mua cà vạt màu đỏ,0,0,0,0,0,0
mình muốn mua cà vạt màu xanh,0,0,0,0,0,0
mình muốn mua cà vạt màu vàng,0,0,0,0,0,0
mình muốn mua cà vạt màu hồng,0,0,0,0,0,0
mình muốn mua cà vạt màu xanh lá,0,0,0,0,0,0
mình muốn mua cà vạt màu tím,0,0,0,0,0,0
mình muốn mua cà vạt màu nâu,0,0,0,0,0,0
tôi cần mua cà vạt màu đen,1,0,0,0,0,0
cà vạt màu đen,1,0,0,0,0,0
tôi cần mua cà vạt màu đỏ,0,0,0,0,0,0
tôi cần mua cà vạt màu xanh,0,0,0,0,0,0
tôi cần mua cà vạt màu vàng,0,0,0,0,0,0
tôi cần mua cà vạt màu hồng,0,0,0,0,0,0
tôi cần mua cà vạt màu xanh lá,0,0,0,0,0,0
tôi cần mua cà vạt màu tím,0,0,0,0,0,0
tôi cần mua cà vạt màu nâu,0,0,0,0,0,0
tôi cần mua cà vạt màu xanh,0,0,0,0,0,0
tôi cần mua cà vạt màu trắng,0,0,0,0,0,0
tôi cần mua cà vạt màu xám,0,0,0,0,0,0
tôi cần mua cà vạt màu be,0,0,0,0,0,0
tôi cần mua kẹp cà vạt màu đen,0,0,0,0,0,0
tôi cần mua kẹp cà vạt màu đỏ,0,0,0,0,0,0
tôi cần mua kẹp cà vạt màu xanh,0,0,0,0,0,0
tôi cần mua kẹp cà vạt màu vàng,0,0,0,0,0,0
